[72.7989776 19.3454701]
[72.7989798 19.189284 ]
[72.7989919 19.1989015]
[72.7989992 18.9584159]
[72.7990389 19.1896931]
[72.7990851 18.9584971]
[72.7990933 18.9538074]
[72.7991562 19.1763501]
[72.7991585 19.1432307]
[72.7991673 19.2648296]
[72.7991715 19.1879468]
[72.7991912 18.9588396]
[72.7991984 19.1843975]
[72.7992214 19.3509572]
[72.7992478 19.3532928]
[72.7992653 18.9577584]
[72.7992749 19.3581606]
[72.7992968 19.1894658]
[72.7993114 19.2700591]
[72.7993464 19.3581182]
[72.799394  18.9585377]
[72.7994411 18.9603058]
[72.7994532 18.9518731]
[72.7994885 18.9573038]
[72.7995089 18.9498986]
[72.7995437 19.1953372]
[72.7996196 19.3442839]
[72.7996314 18.9603527]
[72.799655 19.243999]
[72.7996588 18.963472 ]
[72.7996922 19.2433913]
[72.7996989 18.9562711]
[72.799703  18.9579694]
[72.7997131 18.9636812]
[72.7997324 18.9554894]
[72.7997372 19.1955775]
[72.7997931 19.1854483]
[72.7998015 19.2691025]
[72.7998304 18.9664551]
[72.79984852 18.95918676]
[72.7998571 19.3443697]
[72.7998715 18.9571441]
[72.7998948 18.9634264]
[72.799909  18.9579857]
[72.7999507 19.2410686]
[72.79996706 18.95896757]
[72.7999691 18.9533911]
[72.7999742  18.95939175]
[72.7999947 19.1854031]
[72.7999995 19.2683532]
[72.800045  18.9668102]
[72.8000519 19.3415862]
[72.8000711 19.1436505]
[72.800083  18.9491352]
[72.80009361 18.95913144]
[72.8001685 19.1964042]
[72.8001837 18.9592926]
[72.80023771 18.95846712]
[72.8003031 19.3415649]
[72.8003268 18.9595627]
[72.80033616 18.95868251]
[72.8003584  18.95824395]
[72.8003691 19.143784 ]
[72.8004319 18.9654136]
[72.8004502 19.2410734]
[72.80046205 18.9584495 ]
[72.8004953 19.1972276]
[72.8005184 18.9591708]
[72.8005185 18.9682273]
[72.8006368 19.3420494]
[72.8007008 19.3476172]
[72.8007739 19.3424012]
[72.8007808  18.96807153]
[72.80080252 18.96815417]
[72.80081505 18.96820181]
[72.8008276 19.2894638]
[72.80086165 18.96804942]
[72.8008626 19.3447202]
[72.80088412 18.96813317]
[72.80090057 18.96819446]
[72.8009244 18.956375 ]
[72.8009585 19.1818534]
[72.8009751 19.3426045]
[72.8009824 18.9604108]
[72.8009851 19.3398558]
[72.801004  18.9604939]
[72.8010202 18.9606074]
[72.8010224 18.960657 ]
[72.8010752 19.1833789]
[72.8011041 19.3456499]
[72.80112489 18.9679774 ]
[72.8011391 19.3462802]
[72.80114859 18.96806507]
[72.8011525 18.9609153]
[72.80116958 18.96814273]
[72.8011833 19.1853396]
[72.8012033 19.1763864]
[72.80122824 18.96950078]
[72.8012332 19.3559718]
[72.80124142 18.96946475]
[72.80125661 18.95658309]
[72.8012699 18.9548517]
[72.8012735 18.9703157]
[72.8012763 19.342372 ]
[72.8012987 18.9696782]
[72.8013172 18.9527278]
[72.8013211 19.1471951]
[72.8013496 18.9612381]
[72.8013627 19.1859789]
[72.80139812 18.95671695]
[72.8014257  18.96909024]
[72.8014493 19.2677467]
[72.8014822 18.9499932]
[72.8014932 19.1762588]
[72.80150396 18.9689921 ]
[72.8015171 19.3357601]
[72.8015529 19.1443682]
[72.8015783 18.954612 ]
[72.8015862 18.9614545]
[72.8016135 19.1764282]
[72.8016325 19.1866814]
[72.8017015 18.950257 ]
[72.8018106 18.9608005]
[72.8018214 18.9542391]
[72.8018391 18.967782 ]
[72.801847  18.9506443]
[72.8018518 19.3564714]
[72.8018635 18.9704527]
[72.8018689 18.9679568]
[72.801885  18.9683271]
[72.8019063 19.1761178]
[72.8019223 19.3443337]
[72.8019625 18.9710762]
[72.8019779 19.3334519]
[72.8020197 19.1446589]
[72.802029  18.9603884]
[72.80205066 18.95550917]
[72.8020546 19.1468289]
[72.8020697 19.1455834]
[72.8020809 19.1885348]
[72.8020858 19.145444 ]
